idConsultorio,direccion,cp,email,telefono
1,callao 23,1221,consultorio1@gmail.com,45216599
2,petragal 36,1222,consultorio2@gmail.com,44459599
3,chalay 65,1223,consultorio3@gmail.com,43633699
 ,tartagal 78,1224,consultorio @gmail.com,42121287
5,estonia 50,1225,consultorio5@gmail.com,47484887
6,barcelona 98,1226,consultorio6@gmail.com,40344323
7,madrid 85,1227,consultorio7@gmail.com,49996923
8,rosario 32,1228,consultorio8@gmail.com,43464710
9,temperley 74,1229,consultorio9@gmail.com,42003310
10,abdul 145,1230,consultorio10@gmail.com,40999970
11,rota 321,1231,consultorio11@gmail.com,42665540
12,tornado 45,1232,consultorio12@gmail.com,41878740
